"","ATEMP_SUMMER_HIST_HUC12","WOODY_VEG_PCT_HUC12","N_RED_DRYDEP_HUC12","HUC12_join","preds"
"126",20.86,9.23,5.882553967,70200100606,NA
"127",22.68,11.83,1.971583405,51202010808,NA
"128",20.05,29.58,1.90486578,41300030406,NA
"129",20.38,47.17,1.285049598,170800020506,NA
"130",28.57,18.38,0.878657302,31401070102,NA
"131",21.04,40.71,0.837441156,11000040208,NA
"132",29.54,83.34,0.549721548,31401040104,NA
"133",24.18,85.13,0.741364387,20403010605,NA
"134",23.79,42.77,0.750250645,170200151010,NA
"135",23.39,63.12,1.455660906,51201100607,NA
"136",26.95,30.47,4.792590831,110702060302,NA
"137",22.67,72.48,1.191721054,60101010201,NA
"138",20.16,77.17,0.591485241,20502010310,NA
"139",28.86,48.49,1.242936372,30502050107,NA
"140",19.02,74.72,0.780476941,20502050504,NA
"141",24.12,56.31,1.616119423,180600130204,NA
"142",22.3,18.95,1.826287389,71200010807,NA
"143",18.18,97.04,0.839967957,20501070702,NA
"144",23.32,68.47,1.172240322,51202030512,NA
"145",23.61,9.28,1.478150384,51202050606,NA
"146",30.42,24.49,1.176546101,120601030305,NA
"147",23.2,11.76,1.29958871,50600012204,NA
"148",26.57,45.77,5.506355612,110702090306,NA
"149",23,18.3,1.898935913,51202011107,NA
"150",23.32,9.34,1.575503497,51201090805,NA
"151",22.29,10.91,2.263831061,51201060903,NA
"152",20.6,5.16,5.801701604,70200110204,NA
"153",21.07,49.2,0.932457037,10802050202,NA
"154",20.27,80.96,0.641470047,20502010406,NA
"155",20.72,84.52,0.747852154,10802050805,NA
"156",28.2,90.41,0.288987524,140700061105,NA
"157",24.74,24.89,1.501233343,20700100307,NA
"158",20,79.47,0.926469651,50200060301,NA
"159",31.02,90.24,0.736577462,31002080402,NA
"160",21.49,34.76,1.576403229,50400030302,NA
"161",25.98,28.49,3.369284013,110702070505,NA
"162",22.8,16.23,7.589693603,20503061107,NA
"163",20.75,22.22,5.493894721,70200091103,NA
"164",22.39,59.85,1.346840676,60101020102,NA
"165",21.52,66.57,0.692154291,50100060504,NA
"166",24.25,29.52,1.595876387,71402011102,NA
"167",23.23,53.01,0.984677781,50600031003,NA
"168",21.96,65.37,0.945918888,50301010207,NA
"169",23.15,5.65,1.802721272,71300060107,NA
"170",22.57,17.89,2.162055873,71300010505,NA
"171",22.4,31.06,1.533519977,71200011806,NA
"172",19.73,89.52,0.789621991,20502060206,NA
"173",23.34,67.98,1.116722513,60102050401,NA
"174",23.06,36.15,2.08708433,20402050401,NA
"175",20.91,35.01,1.440738778,41000020105,NA
"176",24.21,89.37,0.758223038,50902010106,NA
"177",20.39,82.25,0.783615293,50200060603,NA
"178",23.66,17.84,2.286483171,20700041006,NA
"179",29.09,71.57,0.612527019,31401060506,NA
"180",19.91,53.82,2.42446894,70700060302,NA
"181",22.86,68.01,0.8723701,50500020301,NA
"182",20.32,8.85,4.433489503,70400020310,NA
"183",21.82,47.43,1.065376665,50301050409,NA
"184",30.95,77.5,0.636526747,30801020505,NA
"185",22.03,10.34,2.120437871,41000110702,NA
"186",21.88,22.51,5.58925689,71000050705,NA
"187",19.23,27.37,1.586957232,171100130302,NA
"188",23.19,20.29,1.962793589,71300051004,NA
"189",10.62,68.29,0.465025878,110200010202,NA
"190",20.51,48.15,2.595041658,70600020606,NA
"191",19.64,95.46,0.46529098,20502020406,NA
"192",19.48,78.59,0.659273964,20401010501,NA
"193",20.79,13.32,1.777796876,41100010203,NA
"194",22.41,19.18,2.444247847,51201040705,NA
"195",21.75,19.49,4.287156127,71000040604,NA
"196",31.25,91.77,0.57242818,30801020806,NA
"197",20.91,57.95,0.745406623,10802070405,NA
"198",24.18,83.43,0.747470073,50901030403,NA
"199",21.92,9.65,2.102470215,41000090203,NA
"200",21.2,9.08,2.969543202,70900031204,NA
"201",28.62,73.76,0.684918529,31501100302,NA
"202",23.48,71.56,1.172070759,60101010203,NA
"203",22.54,8.14,3.669070698,50800011303,NA
"204",22.45,50.54,0.77058712,50200050801,NA
"205",21.97,10.12,2.144444651,41000110605,NA
"206",23.94,23.7,2.034883853,20700041009,NA
"207",22.02,85.28,0.870201665,50500020503,NA
"208",23.55,60.85,1.20721458,50800030805,NA
"209",18.6,51.83,1.927112736,70700021304,NA
"210",27.54,61.08,1.551029,30402060604,NA
"211",19.08,81.38,0.793628021,20401060104,NA
"212",25.33,79.98,0.60915667,50702030202,NA
"213",17.62,99.26,0.616531429,101201100103,NA
"214",23.76,9.72,1.859705565,71300080203,NA
"215",21.97,38.48,1.10820573,20401060804,NA
"216",20.63,44.34,2.90963117,70600020602,NA
"217",35.59,84.94,0.399109235,150301040104,NA
"218",22.98,20.65,2.430423677,51201070409,NA
"219",31.76,97.67,0.538995193,130403020304,NA
"220",23.36,91.28,0.82183366,50702020101,NA
"221",20.69,11.29,5.134269697,70200080803,NA
"222",22.89,36.96,1.749261884,51202030401,NA
"223",21.61,9.68,4.340433933,71000040404,NA
"224",27.3,64.05,1.022865214,31300020304,NA
"225",18.75,96.98,0.593244918,101201110304,NA
"226",22.51,79.95,0.609659319,50500030908,NA
"227",23.13,86.56,0.918615353,60102050404,NA
"228",24.5,51.96,0.778527021,60102060301,NA
"229",22.8,0.73,3.541278277,51202011202,NA
"230",21.39,11.44,1.381388122,41000020410,NA
"231",20.11,3.59,4.84238362,70802010206,NA
"232",22.91,12.95,3.632953275,70802090703,NA
"233",18.96,69.1,1.177121636,40301050604,NA
"234",20.65,15.13,5.669415769,70200110607,NA
"235",22.33,60.75,0.872427463,20301030601,NA
"236",22.21,13.16,3.536563359,70802051507,NA
"237",23.07,34.52,0.857539625,170200150406,NA
"238",23.51,49.44,0.706134036,170200151012,NA
"239",20.53,96.93,0.422221843,101900020701,NA
"240",24.16,51.31,1.364178797,51201081504,NA
"241",23.35,74.43,0.693040253,50901010304,NA
"242",21.82,27.93,1.585811584,40400010302,NA
"243",21.2,30.42,1.870817352,40400010105,NA
"244",21.22,5.43,5.685963703,71000030806,NA
"245",22.42,47.03,1.285854374,50200050807,NA
"246",20.77,0.02,2.659978227,41100020605,NA
"247",23.87,7.6,2.106102915,51202060502,NA
"248",21.63,9.59,1.734277379,41000100402,NA
"249",23.77,86.56,0.600335152,50500060403,NA
"250",21.98,2.93,10.33569415,101702040805,NA
"251",21.07,38.33,0.948098187,170103070105,NA
"252",20.48,68.68,0.918091633,50100040909,NA
"253",19.98,87.9,0.554690164,50100050609,NA
"254",19.35,77.33,0.471479304,101900020805,NA
"255",29.28,23.74,0.723304847,30802020202,NA
"256",23.71,42.56,1.250739293,180600020805,NA
"257",20.78,8.5,1.686097845,40802060201,NA
"258",21.78,12.29,1.961004724,41000110806,NA
"259",24.59,29.03,3.18809243,20600050104,NA
"260",27.64,77.9,1.259879013,31300020403,NA
"261",30.54,59.76,0.597606199,30801011504,NA
"262",26.75,92.37,1.074910259,110100040305,NA
"263",21.11,13.75,1.375171818,40500012608,NA
"264",20.48,7.26,3.607045947,70400010204,NA
"265",22.94,41.97,2.041924631,20402050307,NA
"266",20.96,50.2,3.012472111,70600010906,NA
"267",21.04,55.18,0.779656827,20200070102,NA
"268",21.08,92.1,0.601383568,20401041003,NA
"269",23.53,91.58,0.658276171,50702020106,NA
"270",24.41,38.22,1.754193665,20503061604,NA
"271",21.96,21.49,1.525082261,41100010602,NA
"272",21.39,28.96,2.306510568,70600050605,NA
"273",18.68,83.39,0.763749865,20401030503,NA
"274",20.6,7.9,4.18081876,70802030306,NA
